Card_id,Bname,Address,Phone,Ssn
ID000001,Mark Morgan,"5677 Coolidge Street, Plano, TX",(469) 904-1438,850473740
ID000002,Eric Warren,"9062 Schurz Drive, Dallas, TX",(214) 701-8127,256954382
ID000003,Robert Harper,"7786 Sachs Place, Plano, TX",(214) 875-5911,256515268
ID000004,Donna Franklin,"3 Magdeline Terrace, Plano, TX",(214) 800-6127,976952914
ID000005,Linda King,"41260 Kedzie Terrace, Dallas, TX",(469) 213-2549,906633588
ID000006,Judy Holmes,"6583 Manitowish Hill, Dallas, TX",(972) 898-5909,206267141
ID000007,Deborah Lawrence,"2 Hermina Trail, Dallas, TX",(972) 900-2951,898613567
ID000008,Adam Johnston,"05671 Norway Maple Court, Dallas, TX",(469) 743-0176,644250492
ID000009,Pamela Carr,"1848 Fordem Avenue, Richardson, TX",(972) 247-9852,678124697
ID000010,Daniel Fisher,"400 Cody Lane, Plano, TX",(214) 891-7743,562337951
ID000011,Stephen Fields,"99 Fair Oaks Drive, Plano, TX",(214) 801-3069,441907753
ID000012,Walter Ferguson,"814 Sutteridge Point, Dallas, TX",(469) 945-8172,305533736
ID000013,Paul Cook,"58295 Pierstorff Pass, Richardson, TX",(469) 932-0168,634616311
ID000014,Roy Smith,"563 Fairview Park, Dallas, TX",(214) 911-4724,661246360
ID000015,Michelle Gardner,"28309 Paget Court, Plano, TX",(469) 974-2681,350838412
ID000016,George Powell,"31 Clove Crossing, Dallas, TX",(972) 885-7291,439755475
ID000017,Nicholas Hudson,"29 Esker Trail, Dallas, TX",(469) 698-4000,431615822
ID000018,Linda Henderson,"117 Katie Center, Dallas, TX",(469) 997-0832,879827179
ID000019,Gregory Fowler,"42454 Hermina Plaza, Dallas, TX",(214) 936-8301,484961826
ID000020,Carol Sanders,"99600 Moland Way, Dallas, TX",(214) 762-1061,562527080
ID000021,Mark Hamilton,"76425 Dixon Hill, Dallas, TX",(972) 802-7903,876615170
ID000022,Anthony Brown,"8691 Walton Terrace, Dallas, TX",(972) 947-3376,139711123
ID000023,James Rivera,"4 Golden Leaf Trail, Dallas, TX",(214) 761-8129,239166210
ID000024,Tammy Cole,"22 Atwood Parkway, Dallas, TX",(469) 292-1882,283067717
ID000025,Donald Bowman,"196 Golf View Terrace, Dallas, TX",(214) 956-6083,371609878
ID000026,Susan Gomez,"601 Warbler Point, Richardson, TX",(972) 877-1341,438787652
ID000027,Juan Martin,"846 Johnson Circle, Dallas, TX",(214) 828-5694,893371519
ID000028,Samuel Bailey,"1367 Northport Drive, Dallas, TX",(972) 972-2250,434925388
ID000029,Paul White,"24775 Melvin Place, Dallas, TX",(469) 459-4087,444509807
ID000030,Gregory Clark,"259 Porter Avenue, Dallas, TX",(972) 979-5771,557410386
ID000031,Steven Wood,"852 Darwin Alley, Dallas, TX",(214) 984-2801,123991439
ID000032,Jessica Fuller,"975 Carpenter Parkway, Dallas, TX",(972) 956-5055,507262481
ID000033,Donna Greene,"86 Delladonna Lane, Dallas, TX",(469) 969-6535,258335117
ID000034,Edward Ford,"34 Fulton Circle, Dallas, TX",(214) 869-1555,876944518
ID000035,Steve Torres,"781 Loeprich Alley, Dallas, TX",(469) 964-7789,153208011
ID000036,Alice Rivera,"79 Dayton Center, Dallas, TX",(214) 841-3416,881793670
ID000037,Jessica Freeman,"27997 Loftsgordon Lane, Dallas, TX",(214) 835-4205,878615560
ID000038,Kenneth Harrison,"25074 Holmberg Park, Richardson, TX",(972) 774-1504,728844113
ID000039,Betty Austin,"4 Schmedeman Terrace, Dallas, TX",(972) 927-7561,792174540
ID000040,Irene Gonzalez,"820 Oxford Crossing, Dallas, TX",(214) 865-5203,433053698
ID000041,Charles Foster,"850 Summerview Crossing, Dallas, TX",(469) 910-6688,132213747
ID000042,Gregory Perez,"57 Bluejay Pass, Dallas, TX",(972) 433-8549,457939804
ID000043,Jose Stone,"93 Waywood Parkway, Dallas, TX",(972) 991-8017,906161095
ID000044,Patrick Moore,"78 Crest Line Road, Dallas, TX",(214) 950-2446,882366316
ID000045,Louis Lynch,"12197 Kinsman Center, Dallas, TX",(469) 820-4208,728963473
ID000046,Matthew Snyder,"169 Mayfield Park, Richardson, TX",(469) 855-5018,377441238
ID000047,Sara Wagner,"24827 Twin Pines Junction, Richardson, TX",(469) 914-5869,582627069
ID000048,Louise Long,"6 Haas Center, Dallas, TX",(214) 939-0517,577822947
ID000049,Judy Hamilton,"65364 Mosinee Center, Dallas, TX",(972) 847-2849,216536968
ID000050,Evelyn Young,"4788 South Street, Dallas, TX",(214) 864-9776,202403427
ID000051,James Moore,"9089 Lunder Parkway, Dallas, TX",(469) 830-4056,897568517
ID000052,Clarence Romero,"68501 Michigan Street, Plano, TX",(972) 982-1803,923847867
ID000053,Jennifer Smith,"3 Cordelia Terrace, Dallas, TX",(469) 963-5598,539630143
ID000054,Jack Baker,"01441 Eastlawn Place, Dallas, TX",(972) 909-1277,636251591
ID000055,Amy Nguyen,"79 Rigney Circle, Dallas, TX",(214) 905-2261,622935915
ID000056,Maria Stevens,"5348 David Point, Plano, TX",(972) 992-5831,823008890
ID000057,Teresa Carpenter,"6280 Spenser Lane, Dallas, TX",(972) 908-2593,534077079
ID000058,Roy Arnold,"7548 Dunning Junction, Richardson, TX",(214) 990-9053,203688563
ID000059,Randy Stewart,"5004 Emmet Park, Dallas, TX",(469) 422-2991,457751314
ID000060,Brenda Fernandez,"335 Forster Alley, Dallas, TX",(214) 920-6944,524730400
ID000061,Janet Thompson,"1 Chinook Place, Plano, TX",(972) 986-8081,344668375
ID000062,Billy Ortiz,"4 Hintze Court, Dallas, TX",(469) 808-1346,716553314
ID000063,Edward Hawkins,"96231 Northland Plaza, Dallas, TX",(972) 798-3752,869295873
ID000064,Mark Morgan,"5 Miller Lane, Dallas, TX",(469) 784-6546,218816261
ID000065,Carolyn Morgan,"975 Golf View Place, Dallas, TX",(469) 674-8726,913501956
ID000066,Tina Weaver,"5414 Green Ridge Street, Dallas, TX",(469) 840-0879,749408693
ID000067,Eric Taylor,"6 Fisk Pass, Dallas, TX",(214) 714-7652,992926136
ID000068,Ruth Henry,"84 Hermina Street, Dallas, TX",(972) 934-2054,378071662
ID000069,Phillip Perkins,"84771 Bartelt Trail, Dallas, TX",(214) 917-4226,388449990
ID000070,Annie Welch,"80 Stuart Road, Dallas, TX",(972) 516-1320,288230361
ID000071,Lois Hunter,"49 Blaine Lane, Plano, TX",(972) 809-1141,509441761
ID000072,Lisa Cook,"4412 Lakewood Gardens Plaza, Richardson, TX",(972) 653-9871,704795907
ID000073,Kathleen Harvey,"13 Grayhawk Hill, Dallas, TX",(469) 547-7753,948308402
ID000074,Diane Stevens,"0091 American Circle, Dallas, TX",(469) 942-1364,651576305
ID000075,Samuel Young,"0157 Holmberg Street, Richardson, TX",(469) 918-5729,908632676
ID000076,Mark Riley,"4900 Thompson Court, Dallas, TX",(972) 767-2036,727253782
ID000077,Bonnie Ross,"0 Walton Court, Richardson, TX",(972) 766-6908,775325935
ID000078,Elizabeth Arnold,"952 Sage Pass, Dallas, TX",(214) 967-2424,402350549
ID000079,John Walker,"2 Packers Crossing, Dallas, TX",(469) 796-5094,270866950
ID000080,William Simmons,"1232 Hayes Crossing, Dallas, TX",(972) 903-7706,982119636
ID000081,Lisa Kelley,"3718 Twin Pines Way, Dallas, TX",(972) 900-0487,757385276
ID000082,Carl Larson,"096 Goodland Parkway, Dallas, TX",(469) 550-2228,980242372
ID000083,Brandon Anderson,"8 Leroy Circle, Dallas, TX",(469) 993-9270,444734007
ID000084,Gloria Myers,"03 Elmside Center, Plano, TX",(469) 853-3967,278334174
ID000085,Daniel Freeman,"9584 Elka Place, Dallas, TX",(972) 769-9270,772259640
ID000086,Judith Mitchell,"2506 Merchant Terrace, Dallas, TX",(972) 902-9669,232984647
ID000087,Alan King,"958 Burrows Street, Dallas, TX",(214) 583-5636,937385159
ID000088,Steve Phillips,"45557 Jana Court, Dallas, TX",(972) 937-9620,327803166
ID000089,Brenda Butler,"5 Calypso Avenue, Dallas, TX",(972) 892-6177,405927423
ID000090,Patricia Spencer,"65143 Union Lane, Dallas, TX",(214) 909-9264,133378900
ID000091,Larry Olson,"50299 Lien Parkway, Dallas, TX",(972) 965-7073,227646193
ID000092,Victor Sullivan,"272 Milwaukee Point, Plano, TX",(972) 759-4852,272416460
ID000093,Kathryn Taylor,"2952 Thackeray Point, Dallas, TX",(214) 862-0958,318950284
ID000094,Rachel Little,"755 Kropf Pass, Dallas, TX",(972) 797-7226,729228562
ID000095,Donald Richardson,"951 Chive Avenue, Dallas, TX",(972) 934-6450,783549793
ID000096,Stephen Chapman,"0 Lunder Alley, Dallas, TX",(214) 987-1376,131525777
ID000097,Harold Richardson,"76743 Burrows Court, Dallas, TX",(469) 899-1924,335185473
ID000098,Ernest Palmer,"6 Upham Drive, Dallas, TX",(972) 942-2638,933152171
ID000099,Pamela Matthews,"2 Green Lane, Dallas, TX",(214) 944-0666,595383883
ID000100,Jason Campbell,"6 Raven Court, Dallas, TX",(972) 811-4885,808447643
ID000101,Joyce Fuller,"45900 Iowa Way, Dallas, TX",(469) 906-3524,924160243
ID000102,Andrea Bailey,"33 Cardinal Alley, Richardson, TX",(972) 846-5566,348539608
ID000103,Denise Perry,"68 Old Shore Lane, Dallas, TX",(214) 991-3418,379160722
ID000104,Michael Jacobs,"0 Brentwood Place, Richardson, TX",(469) 924-9727,997924787
ID000105,Catherine Reid,"41544 Anniversary Crossing, Plano, TX",(214) 948-8236,664955489
ID000106,Aaron Romero,"844 Union Way, Dallas, TX",(972) 535-5154,424122851
ID000107,John Warren,"9127 Farragut Center, Dallas, TX",(469) 923-5725,295193279
ID000108,Steve Garrett,"729 Kenwood Court, Richardson, TX",(214) 703-1311,806922733
